text;count;keyword
not;117;0
laporan;116;0
berusaha;116;0
bentar;116;0
kodok;116;0
drama;116;0
ribuan;116;0
are;116;0
adem;116;0
bayaran;116;0
rugi;116;0
smg;116;0
blunder;116;0
sekelas;116;0
menunjukkan;116;0
bantuan;116;0
rendah;116;0
salut;115;0
ajah;115;0
keturunan;115;0
slalu;115;0
rusuh;115;0
kpps;115;0
nafsu;115;0
penjilat;115;0
mengapa;114;0
bali;114;0
janda;114;0
jelek;114;0
bahaya;114;0
optimis;114;0
berikan;114;0
elo;114;0
elektabilitas;114;0
t;114;0
berbagai;114;0
share;114;0
tong;114;0
kejahatan;114;0
garis;113;0
kehidupan;113;0
like;113;0
dek;113;0
b;113;0
with;113;0
jempol;113;0
neh;113;0
tindakan;113;0
dipilih;113;0
dl;113;0
now;113;0
skrng;113;0
duluan;113;0
bunuh;113;0
pesawat;113;0
langit;113;0
mangkrak;112;0
kualitas;112;0
ribut;112;0
tolak;112;0
santri;112;0
basi;112;0
diem;112;0
waktunya;112;0
ra;112;0
gpp;112;0
kata2;112;0
nyawa;112;0
ngawur;112;0
merdeka;111;0
raya;111;0
umur;111;0
ayam;111;0
daya;111;0
hina;111;0
ajak;111;0
kantor;111;0
w;111;0
maen;111;0
rakyatinginprabowopresiden;111;1
balas;111;0
auditforensikkpu;111;1
fb;110;0
ngutang;110;0
ngotot;110;0
pokoknyaprabowosandi;110;1
gerakankedaulatanrakyat;110;1
all;110;0
enggak;110;0
menyerang;110;0
merasakan;110;0
pantes;110;0
stop;110;0
mulia;110;0
ijtima;110;0
mayoritas;109;0
hajar;109;0
bangsat;109;0
sejahtera;109;0
internasional;109;0
batu;109;0
kotor;109;0
8;109;0
da;109;0
gerung;109;0
pasangan;109;0
mreka;109;0
makanan;108;0
freeport;108;0
luh;108;0
engkau;108;0
cuci;108;0
jaenudindown;108;0
its;108;0
diajak;108;0
melanggar;108;0
fahri;108;0
got;108;0
pecundang;107;0
yes;107;0
ampun;107;0
jangan2;107;0
tanggung;107;0
membantu;107;0
posisi;107;0
pura2;107;0
saran;107;0
faktanya;107;0
link;107;0
saudi;107;0
biarin;107;0
pahlawan;107;0
nuduh;107;0
teriak2;107;0
moga;107;0
bijak;106;0
neng;106;0
jadinya;106;0
atuh;106;0
apaan;106;0
kirim;106;0
ebong;106;0
cuitan;105;1
kotak;105;0
98;105;1
harap;105;0
kasar;105;0
sederhana;105;0
gerakansubuhakbarindonesia;105;1
deklarasi;105;1
kedunguan;105;0
segitu;105;0
pendapat;105;1
daftar;105;0
tempe;105;0
perusahaan;105;0
maupun;105;0
plongo;105;0
tuan;105;0
ilc;104;0
bubarkanbanser;104;0
tulisan;104;0
gempa;104;0
omongan;104;0
mendapat;104;0
aa;104;0
golongan;104;0
ngasih;104;0
jutaan;104;0
lgbt;104;0
ki;104;0
repot;104;0
dewan;104;1
intinya;104;0
katakan;104;0
ahmad;104;0
jln;104;0
iman;104;0
zonk;103;0
ala;103;0
berdiri;103;0
kucing;103;0
kirain;103;0
wkwkwkwk;103;0
putihkanjakarta;103;1
pelanggaran;103;0
memenangkan;103;0
dollar;103;0
jokowiorangnyabaik;103;1
koplak;103;0
obat;103;0
doakan;103;0
pejuang;103;0
bocah;103;0
hujan;102;0
makasih;102;0
politikus;102;1
dibalik;102;0
ber;102;0
maunya;102;0
kekalahan;102;1
doi;102;0
terang;102;0
viral;102;0
monggo;101;0
nyoblos;101;1
badan;101;0
jago;101;0
level;101;0
efek;101;0
situng;101;0
bg;101;0
terkait;101;0
ky;101;0
12;101;0
sumpah;101;0
pembohong;101;1
penyebar;101;1
klau;101;0
gbk;101;0
didukung;101;0
sore;101;0
nambah;101;0
jkt;100;1
good;100;0
neraka;100;0
bener2;100;0
spy;100;0
installprabowo;100;0
17aprilgoodbyejokowi;100;1
pengusaha;100;0
satunya;100;0
uasdifitnahkejidanbrutal;100;1
klarifikasi;100;0
arti;100;0
pelajaran;100;0
senjata;100;0
suaranya;100;0
madura;100;0
versi;99;0
sempat;99;0
super;99;0
dilarang;99;0
sarumpaet;99;0
komentar;98;0
persis;98;0
berjalan;98;0
lelah;98;0
mgkn;98;0
17aprilprabowopresiden;98;0
per;98;0
hormat;98;0
mengerti;98;0
mestinya;98;0
that;98;0
pengalaman;98;0
lempar;98;0
orangorang;98;0
ta;98;0
happy;98;0
tanggal;98;0
panggung;98;0
produk;98;0
will;98;0
pokoknya;98;0
do;98;0
mengaku;98;0
sebentar;97;0
begitulah;97;0
rupanya;97;0
jan;97;0
unggul;97;0
pusat;97;0
sudahlah;97;0
terasa;97;0
perasaan;97;0
sono;97;0
undang;97;0
nyambung;97;0
miris;97;0
rindu;97;0
boyolali;97;0
temen;97;0
plus;96;0
dipecat;96;0
quran;96;0
ummat;96;0
indonesiamenang;96;0
say;96;0
lari;96;0
rg;96;0
jkwtakutpaparkanmisivisi;96;0
seru;96;0
menarik;96;0
oknum;96;0
melindungi;96;0
sdg;96;0
strategi;95;0
